Processed_Text,Type
implement storage access framework work finish mission database work downloadmission bump serializable version keep classic java api saf tree api support android lollipop high add wrapper saf stream open implement closeable sharpstream replace dispose method,Android Version
improve string android migration support,Android Version
issue setautolinkmask linkify cause crash android webview not present device,Device
libvlc use new android marshmellow api get list supported encoding,Android Version
low min api android bump version,Android Version
make card radius 0dp lollipop not crash kitkat,Android Version
make toolbar shadow visible pre lollipop android version fix crash delete draft medium attach,Android Version
migrate support library architecture component androidx,Android Version
minimal android version update translation,Android Version
multi window support add android nougat change travis yml updated buildtools java version,Android Version
new version support library solves miss color fab gingerbread,Android Version
note minimum android version receive bluetooth offline transaction,Android Version
add app name notification text version android nougat,Android Version
paintroid 84 fix color picker crash pre lollipop device,Android Version
remove android support lib,Android Version
remove class compatibility notification android api level less 14 not support,Android Version
remove code become unneeded set minimum target api 21 android lollipop,Android Version
revert fix health bar marshmallow device test donut x86,Android Version
revert back use icon provide platform add not available api goto mark platform specific versoins,Other
rewrite root input capture compatible android much secure general,Android Version
scanactivity fix nosuchmethoderror pre android lollipop device,Android Version
sdk update,Android Version
set minimum required android version 12 honeycomb,Android Version
split play service avoid support version conflict com android support library must use exact version specification mix version can lead runtime crash find version,Android Version
start deprecation android version lollipop,Android Version
start support android new immersive mode,Android Version
support material design api 21,Android Version
support old device compat,Device
switch new api create home shortcut work new phone part upgrade newer support library android api version replace fosdem logo new one actually 100 square,Android Version
sync use foreground service every android version,Android Version
target qqq fix notification sdk probably breaks notification old honeycomb will fix rest confirm not build yet,Android Version
target sdk 28 android pie,Android Version
actually work incorporate new library android marshmellow support however not use public api I will get version work public api soon,Android Version
try fix dropbox conflict wait new version,Other
try fix nodisplay theme crash marshmallow,Android Version
update android api 20,Android Version
update android design support library,Android Version
update android library reference,Android Version
update android support library,Android Version
update android support library,Android Version
update android version number deploy,Android Version
update androidx fix icon crash preference api 19,Android Version
update api level android 8,Android Version
update api version build break will need work,Android Version
update conductor support preference androidx preference compat fix,Android Version
update dependency androidx coroutines bump version number,Android Version
update gradle android support,Android Version
update padding api version 14,Android Version
update passowrdedittext android support library,Android Version
update sdk build tools sample integration android,Android Version
update support library 25er version progress autofill service implementation,Android Version
update support library version,Android Version
update support library version fix font family serif issue,Android Version
update support libs page,Android Version
update support libs materialdrawer,Android Version
update support libs,Android Version
update targetsdkversion late api 22 android,Android Version
update android support package rev 6,Android Version
update compatible late android studio,Other
update new appcompat fix build error,Other
update support library last version support api 9,Android Version
update late version android,Android Version
update travis android api 27 well,Android Version
update version number name min version remove jelly bean workaround,Android Version
update versionname versioncode androidmanifest xml workaround,Android Version
update android target version travis,Android Version
update compat lib late version,Android Version
updated compatibility section,Other
updated dependency build tool recent version upgrade compile target android 9,Android Version
update embed library libpng version libpng configure toolchain arm linux androideabi android ndk 16b api14,Android Version
update previous fix show menu drawer tablet layout work large device rather just xlarge support nexus 7,Android Version
updated support library jar app version number also fixed comment view selection sticking tablet,Android Version
updated wallpaper honeycomb,Android Version
update mockito support lib version,Android Version
update version code lollipop lollipop,Android Version
upgrade android support library,Android Version
upgrade api level android 10 implement new share api,Android Version
upgrade package downgrade appcompat crash lollipop,Android Version
upgrade support library version,Android Version
use currently available version r4 compatibility lib,Android Version
fix hangul char not always split correctly android 6,Android Version
fix version android crash upload photo,Device
android studio support lib update,Android Version
add_wigets_support fix crash android device,Android Version
update target api 24 android nougat,Android Version
check api version,Android Version
fix bunch lint error code resource add convenience class check android api version,Android Version
use old okhttp version maintain android 4 compatibility,Android Version
update support library version,Android Version
release update version android manifest,Android Version
walletapplication save last known bluetooth address order prepare future android version try hide,Android Version
update support library compile version order fix build,Android Version
notification color icon android api version,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
saf implementation full support directory api android lollipop later best effort handle kind error miss file revoke permission etc recover download implement directory choose fix download database version upgrade misc cleanup not release permission old save path user change download directory saf api,Android Version
fix build target sdk 26 update support library version update gradle add support android studio 3 update robototextview master add support change introduce sdk 26 add robototextview gradle plugin exclude unused font,Android Version
revert notification color icon android api version,Android Version
target android oreo mr1,Android Version
update support library version fix might worth update,Android Version
update gradle android api version,Android Version
fix startup crash pre honeycomb device,Device
matrix android sdk update reduce loading time load e2e device demand,Android Version
circleci refactor android api max 25 min 16 arm,Android Version
revise app description clarify may not work device,Device
update min require android version lollipop 5,Android Version
update sdk version support library 23,Android Version
added old android lockpattern dependency new version update test,Android Version
fix android compat 2nd param bundle getstring support,Android Version
update android api 25 change min version 15,Android Version
add android 10 support fix mispellings,Android Version
notification displayed dev version android 8 device,Device
minimum support api 19 kitkat,Android Version
created new contactwrapper class handle difference contact api pre uses reflection one piece added czech translation string updated tts stub,Android Version
searchactivity remove compatibility code api version 16,Android Version
dccmanager fallback download dir can null getexternalfilesdir can return null device docs mention can return null share storage not available fix startup crash however downloads will not work device unless different directory use accord google play affect single user signle device make specific error case unneeded,Device
fix locationmanager will crash api 23,Android Version
fix crash splash screen version kitkat due try load vector drawable selector,Android Version
update android version,Android Version
release update version android manifest,Android Version
add androidmanifest api level 18 automator test,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
update library version move android 29,Android Version
release update version android manifest,Android Version
fix crash android list unknown device,Android Version
update fcm libs avoid crash android oreo device,Android Version
update android support library r7,Android Version
switch android cropper library come jitpacked github update support library 28,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
update android support library,Android Version
release update version android manifest,Android Version
android use appropriate android support library version,Android Version
patch choose default notif sound riot setting notification set phone default ring tone not notif happen 2 android device test riot,Device
refactor rtree use boundingbox instead rect update android version number,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
fix crash create option menu android version menu create event load report simon debaeke,Android Version
update android support libs,Android Version
release update version android manifest,Android Version
revert android support library update,Android Version
vectormessagelistfragment save not use crash device kitkat,Android Version
revert upgrade multidex support lib api 16 device crash,Android Version
update subnodule keybase fix version support libs,Android Version
fix use wrong version android support package,Android Version
android update version,Android Version
android sdk update,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
updated script android support library version thirdparty now replace know sane version,Android Version
fix crash pre api level 19 device due getalpha call drawable,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
build set target sdk version 28 update gradle,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
treatment unloadable app icons added android version support back,Android Version
update android 8 device notification management,Android Version
release update version android manifest,Android Version
update gradle version fix crash kitkat cause old gradle plugin version,Android Version
release update version android manifest,Android Version
update robolectric support new android support libs,Android Version
release update version android manifest,Android Version
update android support library mainly fix crash android 3 device due new api notification,Android Version
add flag cause crash old android version,Android Version
update travis android build tools version,Android Version
update 68 replace android support library usage androidx,Android Version
hardcode oreo setting style old android version,Android Version
update android version support google guideline,Android Version
update android sdk support library,Android Version
update_recents_design update icon update manage android api 21,Android Version
bump rootproject retrofitversion bump rootproject okhttpversion late supported version api 9,Android Version
release update version android manifest,Android Version
integration android update sourcecompatibility targetcompatibility,Other
update android version code rebuild,Android Version
update android version,Android Version
release update version android manifest,Android Version
remove uneeded android support library dependency,Android Version
update api version 11,Android Version
update rendering type new android version new map creator,Android Version
sni support fixes 9 available api level 17 android,Android Version
skip update android support library v4,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
dumb update jelly bean workaround app just version,Android Version
build update late android support library,Android Version
release update version android manifest,Android Version
avoid usage magic number android api version,Android Version
fix xmls update property target platform android 19,Android Version
start deprecation android version kitkat,Android Version
updated support library target version tool android,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
crash history screen device api 21,Android Version
release update version android manifest,Android Version
backport pixel oreo colour older android version,Android Version
release update version android manifest,Android Version
android support library update,Android Version
update android support library version 11,Android Version
release update version android manifest,Android Version
update androidx version,Android Version
move switchpreference switchpreferencecompat good support old android version,Android Version
invalidate map relation member add updated android version number,Android Version
specify android support library travis without version,Android Version
jitsi not support anymore device api 21,Android Version
intellij idea update android support version per e7964682564e7ea6049c6dee6b4e7f0a569564dc,Android Version
release update version android manifest,Android Version
widget integration work now kitkat device,Android Version
release update version android manifest,Android Version
updated support library,Android Version
release update version android manifest,Android Version
make tab slidingtablayout focusable keyboard input use support library selectableitembackground instead platform one allow selectable background api 14,Android Version
release update version android manifest,Android Version
remove scale fix crash android device fix,Android Version
bump version gradle android gradle plugin android support library,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
updated script android support library version thirdparty now replace know sane version,Android Version
update compatibility support section,Other
release update version android manifest,Android Version
android support library version update,Android Version
update android support library rev 18,Android Version
remove piece outdated gingerbread compatibility code,Android Version
android support library upgrade,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
update late android support library,Android Version
release update version android manifest,Android Version
update android version number,Android Version
update versionname versioncode androidmanifest xml workaround,Android Version
chore update build tool android version dependency,Android Version
fix crash android lollipop cliking refresh whole account,Android Version
update new android support library android sdk version,Android Version
release update version android manifest,Android Version
add android sdk platform api level 16 travis build file,Android Version
hide auto sync pre nougat version,Android Version
release update version android manifest,Android Version
fix lack file android version previous gingerbread,Android Version
upgrade android compatibility package rev 4 fix dpad navigation transaction list,Other
fix api version support update api lib,Android Version
release update version android manifest,Android Version
update external storage api device,Android Version
update call now api version,Android Version
update build gradle use google apis 23 map support appcompat 23 set targetsdk 22 avoid runtime permission check now,Android Version
update android support library v13,Android Version
fix crash update language android 5,Android Version
fix exception try listen bluetooth connection early android 4 version,Android Version
change build gradle use late version android support library,Android Version
release update version android manifest,Android Version
update library version,Android Version
fix gui list sync introduce logger class disable log easily since may crash huawei device,Device
sample integration android require android kitkat,Android Version
release update version android manifest,Android Version
android qqq support update build tool,Android Version
android support library update late version,Android Version
update gradle support lib version therefor som minor reqirment change toolbar color,Android Version
android version bump 33,Android Version
release update version android manifest,Android Version
fix signout bottomsheet crash old device test kitkat,Device
updated version code version name android,Android Version
update android oreo api 26,Android Version
update androidmanifest xml api 8 feature,Android Version
android support library update,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
updated target version 29 android 10,Android Version
android support library version update,Android Version
update android support library,Android Version
release update version android manifest,Android Version
update android version gradle build 22,Android Version
release update version android manifest,Android Version
updated version code name,Android Version
update versionname versioncode version also workaround,Android Version
release update version android manifest,Android Version
upgrade android support library,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
update late version android support library,Android Version
use resourcecompat support android version,Other
update ref android library increase build target api level 23,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
1470 remove condition ignore android hardware action new_picture event device version,Device
release update version android manifest,Android Version
make upgradewalletservice inactivitynotificationservice run foreground service android oreo,Android Version
release update version android manifest,Android Version
update android sdk v23 deal android 6 permission system update gradle version,Android Version
release update version android manifest,Android Version
androidx migration small fix image activity case new image update library version minsdkversion support now 16 complete support sdk 16 remove commons lang3 not compatible,Android Version
release update version android manifest,Android Version
update android version number build instruction,Android Version
update support,Android Version
update android support library version 13,Android Version
gradle sdk android support library update,Android Version
update sdk build tools 24 sample integration android,Android Version
update versionname versioncode androidmanifest xml,Android Version
release update version android manifest,Android Version
travis update android version,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
refresh project 1 ant build retire gradle build significantly improve 2 fix crash view address code 3 update lollipops 4 fix mute many warning 5 update android support library now gradle,Android Version
android support library upgrade,Android Version
update library version buildbot,Android Version
release update version android manifest,Android Version
update android sdk,Android Version
update support library androidx,Android Version
build update android support library,Android Version
bugfix lollipop alertdialog see style move away android reference icon self shipped version design consistency,Android Version
release update version android manifest,Android Version
update target build tool support library version 26 add dependency repository jcenter maven google com change deprecated actionbaractivity appcompatactivity,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
update gradle version target sdk android 9,Android Version
updated support lib version,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
require android kitkat,Android Version
update android support library revision 21,Android Version
reportissuedialogfragment report support abis android lollipop,Android Version
release update version android manifest,Android Version
update versionname versioncode update changelog new feature improvement fixing,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
not specify version android support library,Android Version
update android support version,Android Version
increment versioncode upgrade androidx implementation,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
add android api version check,Android Version
2 fix miss widget update app pause fix protect note updated rotate screen without insert password fix update gradle wrapper tool workaround broken reminder nougat fix fix type changelog update add miss string compare develop translation update minor textual typo fix broken location address set google map api key hardcoded now optional wip tmp auto stash cherrypick google map api key hardcoded now optional `` month ago `` bumped version update translation reset password use now available password prompt develop master develop `` password removal perform background dialog close completion lock note now process encrypt password change fix fix miss widget update app pause fix protect note updated rotate screen without insert password fix 2 month ago changelog update updated translation bump app version workaround broken reminder nougat fix update gradle build tool collapsable note title detail move attachment image top use grid view note list updated compatibility library dependencies fix type build tool update fix end position calculation title animation note detail view fix build tool version travisci config finish finish changelog update added miss string compare develop translation update updated gradle plugin version update minor textual typo complete redesign detail view align checklist element note list view minor change comment codacy analysis update gradle binary version update grade sonar plugin use recyclerview display note list add new stagger grid layout fix broken location address set 4 month ago google map api key hardcoded now optional code optimization simplegallery dependency update version add file size attachments action dialog code optimization 5 month ago gifs animation support within internal gallery update common model dependency develop snapshot code change lower technical debt add nire badge readme reverted version pre state master develop remove unused class remove unused class remove search string label change sort order fix fix note open home widget break navigation bump version master version update fixed broken navigation drawer open app dashclock widget version update reverted gradle build tool late stable master fix audio recording attachment uris remove sign configuration sign property file relative path dummy test add reverted attachment copy single thread avoid strange artifact typo 6 month ago fix geolocation runtime permission not need fix broken share intent handle android marshmallow add app logo base64 encode info page remove wrongly added feature string update version navigation change issue app open home widget updated translation archive note now hide within home widget integrated signature property configuration file fix many lint error prevent run releasedebug build master develop lock note now process encrypt password change fix,Android Version
update dependency rxmd android support library,Android Version
update versionname versioncode androidmanifest xml workaround,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
update versionname versioncode androidmanifest xml workaround,Android Version
release update version android manifest,Android Version
update late version android studio,Android Version
add android api version check 2,Android Version
update compilesdkversion support libs 27 28 api,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
use http support gingerbread not android 9,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
update android support library material dialogs 2,Android Version
update travis yml android target sdk 29,Android Version
android 8 crash device boot,Android Version
drop support api 7 8 device good time,Android Version
fix crash android surely sdk version,Android Version
update gradle build sdk 29 update external libs drop auto theme option coarse location permission deprecate androidx support,Android Version
upgrade min version android preparation release,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
update gradle kotlin android support libs,Android Version
add try cipher suite may support non standard android device,Device
release update version android manifest,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
update android version,Android Version
updated support library,Android Version
release update version android manifest,Android Version
issue 5218087 honeycomb_mr2 ice_cream_sandwich widget padding,Android Version
release update version android manifest,Android Version
library database integrity check android version changelog update,Android Version
update compilesdkversion targetsdkversion api 25 update support library,Android Version
android sdk update fix crash,Android Version
target api 29 update gradle update dependency,Android Version
android 7 workaround update hash group membership operation,Android Version
fix android auto previous version get reject play store,Android Version
doc notification describe riot fix android 8 background task,Android Version
support gesture lock low api device,Device
fix bunch lint error code resource add convenience class check android api version,Android Version
remove version check api 21 device,Android Version
support pre jelly_bean ndef,Android Version
update version number name,Android Version
drop support api 15 ice cream sandwich,Android Version
update sdk version 22 update buildtools update android support,Android Version
update travis android use api 25,Android Version
update network support android nougat,Android Version
update support libs build tool v26,Android Version
rearrange content project file fixes several issue use arm define mobile platform instead gles allow arm device raspberry access previously desktop feature like sdl detect user linux distro opt use qtmultimedia situation use instead qtmobility save download organise library way make sense compile translation linux desktop will use translation use constant macro define platform clean redundant comment add new one add support back blackberry ffmpeg raspberry require ffmpeg,Device
handle different full screen mode depend android device version,Android Version
start service right way android oreo device,Android Version
support api version 3 4,Android Version
support lib version update,Android Version
update common min android version 5,Android Version
fix verifyerror crash old android version,Android Version
upgrade min sdk version sample client include library,Android Version
refactored significant poritions pdf generation stack order good support generalized concept grid measuring rendering inspire lack support multi page pdfs update handle now order acheive general manner also upgrade min sdk version lollipop,Android Version
disable contact sync default android 6,Android Version
update sdk api level 19 kitkat,Android Version
add android 8 compatibility use job scheduler 21 device refresh even widget not add,Android Version
update guava version fix r8 compatibility,Other
android support update build tool,Android Version
fix minimum version full notification builder,Android Version
bump default api version 17 miss sdk bump,Android Version
remove android test drive,Android Version
remove deprecate support version kitkat minimum,Android Version
update build tool version always use late available support libs,Android Version
android support library upgrade,Android Version
android canvasview compatibility api level 11,Android Version
update buildtoolsversion support library,Android Version
update androidx version,Android Version
target api 22 since not yet update new permission model fix beep problem surface android 6 update plugins,Android Version
fix crash android due accidentally use android api platform release beta3,Android Version
shop list add new compatibility layer cupcake android package android support v3 literal copy android support v4 change replace android build version sdk_int versionutils getandroidsdklevel modify class fragmentactivity fragmentmanager menucompat class copy v4 v3 consistency remain v4,Android Version
add support lollipop notification visibility,Android Version
fix database sync crash api 16 removed use instances display_color replace instances event_color instances calendar_color,Android Version
update new message notification icon style version android,Other
integrate turn hotspot feature device add method checkhotspotstate check state hostpot device oreo,Device
fix not update status icon android prior version,Android Version
upgrade compat library add back android support,Android Version
basic compatibility android lollipop remove empty libs folder ignore file,Android Version
android api level 5 now mark obsolete,Android Version
bump gradle fix compat android fix crash videooverlayfragment,Android Version
support android,Android Version
update target sdk support library version require google,Android Version
updated ime drawables support 7 inch device,Device
disabled wal compatibility make work android pie,Android Version
update android version vector,Android Version
decrease version name upgrade support library,Android Version
update sdk version 22 android,Android Version
use okhttp avoid connection issue android version,Android Version
switch persistent turn notification false pre oreo android phone may display annoy icon status bar,Android Version
prevents crash extract rar file device use android 9 pie,Android Version
fix nasty crash honeycomb tablet mysterious hidden error dialog pre honeycomb phone prior first sync,Android Version
1 migrate apachehttpclient library compatible api 23 andoid 2 compile api 23 3 still not work android api 19 outofmemory,Android Version
update target api support version,Android Version
update versionname versioncode androidmanifest xml workaround,Android Version
added support custom event color jelly bean,Android Version
update android sdkversion 26,Android Version
appcompat library version update,Android Version
time drop support apis still people use giggity old phone fine android market let publish apks specific api version giggity will continue installable,Android Version
fix crash icon tinting low android version,Android Version
fix first launch app crash old android device,Device
update bitcoin wallet concern crash bluetooth include pixel 2 device,Android Version
android sdk version update,Android Version
wxw3 update wxgtk compatible current version,Other
build update target api lollipop,Android Version
fix audioplayer crash pre lollipop device,Device
fix savestate compat old version,Android Version
android fix android crash device annoy find,Android Version
fix attachment issue pre lollipop device,Device
downgrade support library version leak activity loadermanager,Android Version
use gateway_provider_package extra bypass lumicall gsm select uri fragment lose recent android version,Android Version
update support version,Android Version
update version number fix double bullet android nougat,Other
android update target sdk version,Android Version
update minimal support version,Android Version
update target api 24 android,Android Version
update versioncode api 28,Android Version
update label use application permission show end user late version android,Android Version
remove support kitkat lollipop,Android Version
fix startup crash old android version,Android Version
update build tool android support library,Android Version
add oneplus compatibles device,Device
might fix crash setting fake android api 19 see unable parse textcolortertiary color wild neo x8h plus,Device
use gson library instead android util jsonreader not available gingerbread device,Android Version
version change event refreshing now really fast change update mechanism fix refresh button add separate build old device android bugfixes,Device
update android apps need api 16 remove stale manifest config,Android Version
external update miniupnpc api version 14,Android Version
assort android version compatibility fix,Android Version
fix health bar marshmallow device test donut x86,Android Version
fix app crash device flash not support,Device
update galileo device compatibility list,Device
fix crash stream disconnect android device root,Android Version
ignore cleartext traffic policy android pie new icon silver platinum update version number,Android Version
update versionname versioncode androidmanifest xml workaround,Android Version
fix compatibility warning layout update document change version 1,Other
com android documentsui oreo update,Android Version
use modified android ripple background stop animation new android release oreo patched version come,Android Version
update widget every hour android version jelly_bean_mr1 fix,Android Version
updated syncthing,Android Version
fix menu textcolor android 4,Android Version
update androidx dependency,Android Version
drop support kitkat minimum lollipop api 21,Android Version
release build fixed updating version name android manfest next release,Android Version
update android version,Android Version
remove honeycomb specific integration android 3 4 device,Android Version
fix port_android not catch sigsegv catch break lollipop nullpointerexception handling,Android Version
new version update support library,Android Version
fix support library version not equal target api version,Android Version
update support libs late version,Android Version
android 5 lollipop compatibility,Android Version
rework background service via android job finally add support new android version respect doze mode stop crash app android 8 fix fix,Android Version
rename fragmentmainactivity mainactivity fixup connection state not visible anymore mobile size device remove needless fix build android sdk tool 22,Android Version
support lib upgrade,Android Version
fix crash folder picker pre kitkat device fix,Device
fix classnotfound android api level 13 device,Android Version
front minimum api level now 15 android,Android Version
theme change also crash honeycomb device fixing,Android Version
fix crash android nougat device,Device
feature create default account structure within app android version improve make transaction creation easy change position transfer account input form close improve clicking version information now show changelog dialog improve add option send feedback rating app fix cause app crash import due wrong color code entry,Android Version
upgrade android compat library,Android Version
libs update android support v4 revision 18,Android Version
libs update android support library,Android Version
update android support library,Android Version
update gradle late version runtime permission add marshmallow sqlcipher library update,Android Version
update android version number changelog,Android Version
update gradle build sdk 29 update external libs drop auto theme option coarse location permission deprecate androidx support,Android Version
update android version 81,Android Version
prevent crash android 2,Android Version
update android sdk android support library version 7,Android Version
build update build tool support libs version,Android Version
add sni support android new api fix,Android Version
update library refrence update minimum_version_for_sharing_api,Android Version
update android maven plugin new version need new android sdk,Android Version
android support library update fix viewpager fragment state good,Android Version
update android version build number,Android Version
lot fix updated icon fix kitkat crash,Android Version
update android version build number,Android Version
update android version build number cleanup import,Android Version
update versioncode versionname add permission usescleartexttraffic update android support library,Android Version
target android 28,Android Version
add android support library v4 update android targetsdk 17,Android Version
updated support library,Android Version
update android version,Android Version
build update android support library version,Android Version
update support library,Android Version
full update android compat,Other
update android support library version 22,Android Version
update android support library javabitcoindrpcclient,Android Version
update versionname versioncode androidmanifest xml,Android Version
update android support library version,Android Version
update android version,Android Version
update gradle android sdk version,Android Version
add new version android support library android sdk,Android Version
update android version travis,Android Version
check new android support library current change compatibility,Android Version
update versionname versioncode androidmanifest xml,Android Version
build update late android support library,Android Version
bump android support library version,Android Version
fix app crash try edit url fix problem android support library v7 19,Android Version
update android support library,Android Version
update dependency rxmd android support library,Android Version
update plugin wake code fix crash oreo device,Android Version
update androidx dependency,Android Version
update proguard config new android support library,Android Version
update android support library dependency sdk version,Android Version
update android support library late version,Android Version
fix deprecation introduce android support library update,Android Version
support super widescreen android device,Device
target api level 24 android nougat rebuild new build tool allow system layout notification update run android nougat break main activity theming think I like update anyway update version dev next release will first public release android marshmellow nougat previous marshmallow support never publically release will add support new permission model release well probably upgrade build system gradle update theme least default light one seem happen poorly android nougat without mean beginning full time work darshan compute good support batterybot altogether version app seem appropriate,Android Version
release add support android oreo shutdownanimations,Android Version
update gradle build tool library version fix kotlin type problem,Android Version
fix build target sdk 26 update support library version update gradle add support android studio 3 update robototextview master add support change introduce sdk 26 add robototextview gradle plugin exclude unused font,Android Version
updated support library late version,Android Version
update android version,Android Version
update gradle android sdk version,Android Version
fix deprecation introduce android support library update,Android Version
update build tool last stable future support android oreo android support library last stable,Android Version
update support library,Android Version
updated support library version,Android Version
upgrade version android support library,Android Version
